cid,lat,lon,urban,households,y_true_pc_cons,y_pred,out_of_fold,n_oof_splits,hr_gsd_m_per_px,subtiles_bought,subtiles_total,hr_frac,objects_acquired,objects_full_grid
139,1.199716,34.158424,0,9,1.3578,1.623,1,2,0.5972,0,256,0.0,0,31
140,1.376591,33.875122,0,17,1.4355,1.5035,1,3,0.5972,0,256,0.0,0,5
141,1.531584,34.050114,0,13,1.2969,1.6254,1,1,0.5972,0,256,0.0,0,2
142,1.636499,33.791069,0,12,1.2144,2.7018,1,1,0.5972,19,256,0.07422,13,32
143,1.073454,34.165039,1,4,2.866,2.8706,1,2,0.5972,53,256,0.20703,206,3326
144,1.070755,34.172199,1,5,8.1658,3.1183,1,1,0.5972,51,256,0.19922,160,962
145,0.825317,34.272385,0,12,1.253,1.3847,1,2,0.5972,0,256,0.0,0,27
146,0.802708,34.309647,0,7,0.719,1.547,1,1,0.5972,6,256,0.02344,2,46
147,0.875928,34.376404,0,10,1.3425,2.3012,1,2,0.5972,4,256,0.01562,0,57
148,0.808689,34.336269,0,10,0.8659,1.6756,1,1,0.5972,15,256,0.05859,4,43
